Load_Order,Object,Enabled,Manual_Override_Order,Dependency_Objects,Dependency_Fields,Self_Dependency_Fields,External_Dependency_Fields,Dependency_Status,Reason,Notes
45,Contact,TRUE,,Account; User,AccountId -> Account; CreatedById -> User; LastModifiedById -> User; OwnerId -> User,MasterRecordId; ReportsToId,,MANUAL_REVIEW_CYCLE; MANUAL_REVIEW_SELF_REFERENCE,Depends on scoped object(s): Account; User. Self-reference field(s): MasterRecordId; ReportsToId.,Moved before AccountContactRelation so Contact parent records load before Account/Contact relationship records.
180,Cost_Center__c,FALSE,,Group; User,CreatedById -> User; LastModifiedById -> User; OwnerId -> User,,OwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Group; User. External reference field(s): OwnerId -> Group.,
190,Coupon__c,TRUE,,Group; Nomination__c; User,CreatedById -> User; LastModifiedById -> User; Nomination__c -> Nomination__c; OwnerId -> User,,OwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Group; Nomination__c; User. External reference field(s): OwnerId -> Group.,
200,D365_Product__c,FALSE,,Group; User,CreatedById -> User; LastModifiedById -> User; OwnerId -> User,,OwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Group; User. External reference field(s): OwnerId -> Group.,
210,Lead,FALSE,,Account; Contact; Group; Opportunity; User,ConvertedAccountId -> Account; ConvertedContactId -> Contact; ConvertedOpportunityId -> Opportunity; CreatedById -> User; LastModifiedById -> User; OwnerId -> User,MasterRecordId,OwnerId -> Group,MANUAL_REVIEW_CYCLE; MANUAL_REVIEW_SELF_REFERENCE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Account; Contact; Group; Opportunity; User. Self-reference field(s): MasterRecordId. External reference field(s): OwnerId -> Group.,
220,Make_Good__c,FALSE,,Account; Contact; Group; Opportunity; RecordType; User,Account__c -> Account; Billing_Contact__c -> Contact; CreatedById -> User; LastModifiedById -> User; New_Opportunity__c -> Opportunity; Opportunity__c -> Opportunity; OwnerId -> User; Seller__c -> User,,OwnerId -> Group; RecordTypeId -> RecordType,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Account; Contact; Group; Opportunity; RecordType; User. External reference field(s): OwnerId -> Group; RecordTypeId -> RecordType.,
230,Mission__c,FALSE,,Group; User,CreatedById -> User; LastModifiedById -> User; OwnerId -> User,,OwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Group; User. External reference field(s): OwnerId -> Group.,Skipped: Mission__c intentionally excluded from migration load.
240,Nomination__c,FALSE,,Account; Event__c; Group; User,Account__c -> Account; CreatedById -> User; LastModifiedById -> User; OwnerId -> User,,Event__c -> Event__c; OwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Account; Event__c; Group; User. External reference field(s): Event__c -> Event__c; OwnerId -> Group.,Skipped: Nomination__c intentionally excluded from migration load.
250,Opportunity,TRUE,,Account; Account_Relationship__c; Alternate_Account_Address__c; Campaign; Contact; Contract; Coupon__c; Mission__c; OpportunityHistory; Pricebook2; Quote; RecordType; Territory2; User,AccountId -> Account; Agency_Account__c -> Account_Relationship__c; Billing_Address__c -> Alternate_Account_Address__c; Billing_Company__c -> Account; CampaignId -> Campaign; ContactId -> Contact; Coupon__c -> Coupon__c; CreatedById -> User; Hub_Account__c -> Account; LastModifiedById -> User; Mission__c -> Mission__c; OwnerId -> User; Pricebook2Id -> Pricebook2; Salesperson__c -> User; SyncedQuoteId -> Quote; Territory2Id -> Territory2; Third_Party_Account__c -> Account,Analytic_Fund__c; Fund_Originating_Opportunity__c; In_Queries_Questions__c; Invoice_Parent__c; Originating_Beta_Opportunity__c; Originating_Opportunity__c; Parent_Opportunity__c; RTI_5_Fund__c,ContractId -> Contract; LastAmountChangedHistoryId -> OpportunityHistory; LastCloseDateChangedHistoryId -> OpportunityHistory; RecordTypeId -> RecordType,MANUAL_REVIEW_CYCLE; MANUAL_REVIEW_SELF_REFERENCE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Account; Account_Relationship__c; Alternate_Account_Address__c; Campaign; Contact; Contract; Coupon__c; Mission__c; OpportunityHistory; Pricebook2; Quote; RecordType; Territory2; User. Self-reference field(s): Analytic_Fund__c; Fund_Originating_Opportunity__c; In_Queries_Questions__c; Invoice_Parent__c; Originating_Beta_Opportunity__c; Originating_Opportunity__c; Parent_Opportunity__c; RTI_5_Fund__c. External reference field(s): ContractId -> Contract; LastAmountChangedHistoryId -> OpportunityHistory; LastCloseDateChangedHistoryId -> OpportunityHistory; RecordTypeId -> RecordType.,
260,OpportunityContactRole,TRUE,,Contact; Opportunity; User,ContactId -> Contact; CreatedById -> User; LastModifiedById -> User; OpportunityId -> Opportunity,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Contact; Opportunity; User.,
